family,gotript,gobookt,numiworks,stayviaowner,TOTAL
OTHER: hotels/adults-only-hotels-in-madeira,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-madrid,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-malaga,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-maldives,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-mallorca,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-manila,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-marrakech,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-marseille,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-matera,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-maui,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-mauritius,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-medellin,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-melbourne,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-merida,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-mexico-city,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-miami,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-milan,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-montreal,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-montreux,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-mumbai,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-munich,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-murren,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-muscat,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-mykonos,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-myrtle-beach,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-nadi,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-nairobi,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-naples,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-nara,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-nashville,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-new-orleans,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-new-york,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-nice,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-oaxaca,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-okinawa,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-orlando,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-osaka,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-oslo,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-outer-banks,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-palermo,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-palm-springs,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-panama-city,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-paris,0,1,0,0,1
