family,gotript,gobookt,numiworks,stayviaowner,TOTAL
OTHER: hotels/hostels-in-istanbul,0,1,0,0,1
OTHER: hotels/hostels-in-jaipur,0,1,0,0,1
OTHER: hotels/hostels-in-jeju,0,1,0,0,1
OTHER: hotels/hostels-in-jodhpur,0,1,0,0,1
OTHER: hotels/hostels-in-johannesburg,0,1,0,0,1
OTHER: hotels/hostels-in-kanazawa,0,1,0,0,1
OTHER: hotels/hostels-in-kandy,0,1,0,0,1
OTHER: hotels/hostels-in-kathmandu,0,1,0,0,1
OTHER: hotels/hostels-in-koh-samui,0,1,0,0,1
OTHER: hotels/hostels-in-krabi,0,1,0,0,1
OTHER: hotels/hostels-in-krakow,0,1,0,0,1
OTHER: hotels/hostels-in-kuala-lumpur,0,1,0,0,1
OTHER: hotels/hostels-in-kyoto,0,1,0,0,1
OTHER: hotels/hostels-in-lake-bled,0,1,0,0,1
OTHER: hotels/hostels-in-lake-como,0,1,0,0,1
OTHER: hotels/hostels-in-lake-tahoe,0,1,0,0,1
OTHER: hotels/hostels-in-langkawi,0,1,0,0,1
OTHER: hotels/hostels-in-las-vegas,0,1,0,0,1
OTHER: hotels/hostels-in-lauterbrunnen,0,1,0,0,1
OTHER: hotels/hostels-in-lima,0,1,0,0,1
OTHER: hotels/hostels-in-lisbon,0,1,0,0,1
OTHER: hotels/hostels-in-london,0,1,0,0,1
OTHER: hotels/hostels-in-los-angeles,0,1,0,0,1
OTHER: hotels/hostels-in-luang-prabang,0,1,0,0,1
OTHER: hotels/hostels-in-lucerne,0,1,0,0,1
OTHER: hotels/hostels-in-lugano,0,1,0,0,1
OTHER: hotels/hostels-in-luxor,0,1,0,0,1
OTHER: hotels/hostels-in-lyon,0,1,0,0,1
OTHER: hotels/hostels-in-madeira,0,1,0,0,1
OTHER: hotels/hostels-in-madrid,0,1,0,0,1
OTHER: hotels/hostels-in-malaga,0,1,0,0,1
OTHER: hotels/hostels-in-maldives,0,1,0,0,1
OTHER: hotels/hostels-in-mallorca,0,1,0,0,1
OTHER: hotels/hostels-in-manila,0,1,0,0,1
OTHER: hotels/hostels-in-marrakech,0,1,0,0,1
OTHER: hotels/hostels-in-marseille,0,1,0,0,1
OTHER: hotels/hostels-in-matera,0,1,0,0,1
OTHER: hotels/hostels-in-maui,0,1,0,0,1
OTHER: hotels/hostels-in-mauritius,0,1,0,0,1
OTHER: hotels/hostels-in-medellin,0,1,0,0,1
OTHER: hotels/hostels-in-melbourne,0,1,0,0,1
OTHER: hotels/hostels-in-merida,0,1,0,0,1
OTHER: hotels/hostels-in-mexico-city,0,1,0,0,1
OTHER: hotels/hostels-in-miami,0,1,0,0,1
OTHER: hotels/hostels-in-milan,0,1,0,0,1
OTHER: hotels/hostels-in-montreal,0,1,0,0,1
OTHER: hotels/hostels-in-montreux,0,1,0,0,1
OTHER: hotels/hostels-in-mumbai,0,1,0,0,1
OTHER: hotels/hostels-in-munich,0,1,0,0,1
OTHER: hotels/hostels-in-murren,0,1,0,0,1
OTHER: hotels/hostels-in-muscat,0,1,0,0,1
OTHER: hotels/hostels-in-mykonos,0,1,0,0,1
OTHER: hotels/hostels-in-myrtle-beach,0,1,0,0,1
OTHER: hotels/hostels-in-nadi,0,1,0,0,1
OTHER: hotels/hostels-in-nairobi,0,1,0,0,1
OTHER: hotels/hostels-in-naples,0,1,0,0,1
OTHER: hotels/hostels-in-nara,0,1,0,0,1
OTHER: hotels/hostels-in-nashville,0,1,0,0,1
OTHER: hotels/hostels-in-new-orleans,0,1,0,0,1
OTHER: hotels/hostels-in-new-york,0,1,0,0,1
OTHER: hotels/hostels-in-nice,0,1,0,0,1
OTHER: hotels/hostels-in-oaxaca,0,1,0,0,1
OTHER: hotels/hostels-in-okinawa,0,1,0,0,1
OTHER: hotels/hostels-in-orlando,0,1,0,0,1
OTHER: hotels/hostels-in-osaka,0,1,0,0,1
OTHER: hotels/hostels-in-oslo,0,1,0,0,1
OTHER: hotels/hostels-in-outer-banks,0,1,0,0,1
OTHER: hotels/hostels-in-palermo,0,1,0,0,1
OTHER: hotels/hostels-in-palm-springs,0,1,0,0,1
OTHER: hotels/hostels-in-panama-city,0,1,0,0,1
OTHER: hotels/hostels-in-paris,0,1,0,0,1
OTHER: hotels/hostels-in-pattaya,0,1,0,0,1
OTHER: hotels/hostels-in-penang,0,1,0,0,1
OTHER: hotels/hostels-in-perth,0,1,0,0,1
OTHER: hotels/hostels-in-petra,0,1,0,0,1
OTHER: hotels/hostels-in-phuket,0,1,0,0,1
OTHER: hotels/hostels-in-playa-del-carmen,0,1,0,0,1
OTHER: hotels/hostels-in-pokhara,0,1,0,0,1
OTHER: hotels/hostels-in-porto,0,1,0,0,1
OTHER: hotels/hostels-in-positano,0,1,0,0,1
OTHER: hotels/hostels-in-prague,0,1,0,0,1
OTHER: hotels/hostels-in-puerto-vallarta,0,1,0,0,1
OTHER: hotels/hostels-in-quebec-city,0,1,0,0,1
OTHER: hotels/hostels-in-queenstown,0,1,0,0,1
OTHER: hotels/hostels-in-quito,0,1,0,0,1
OTHER: hotels/hostels-in-reykjavik,0,1,0,0,1
OTHER: hotels/hostels-in-rhodes,0,1,0,0,1
OTHER: hotels/hostels-in-rio-de-janeiro,0,1,0,0,1
OTHER: hotels/hostels-in-rome,0,1,0,0,1
OTHER: hotels/hostels-in-salzburg,0,1,0,0,1
OTHER: hotels/hostels-in-san-diego,0,1,0,0,1
OTHER: hotels/hostels-in-san-francisco,0,1,0,0,1
OTHER: hotels/hostels-in-san-juan,0,1,0,0,1
OTHER: hotels/hostels-in-san-miguel-de-allende,0,1,0,0,1
OTHER: hotels/hostels-in-san-sebastian,0,1,0,0,1
OTHER: hotels/hostels-in-santiago,0,1,0,0,1
OTHER: hotels/hostels-in-santorini,0,1,0,0,1
OTHER: hotels/hostels-in-sapporo,0,1,0,0,1
OTHER: hotels/hostels-in-savannah,0,1,0,0,1
OTHER: hotels/hostels-in-scottsdale,0,1,0,0,1
OTHER: hotels/hostels-in-seattle,0,1,0,0,1
OTHER: hotels/hostels-in-seoul,0,1,0,0,1
OTHER: hotels/hostels-in-seville,0,1,0,0,1
OTHER: hotels/hostels-in-shanghai,0,1,0,0,1
OTHER: hotels/hostels-in-sharm-el-sheikh,0,1,0,0,1
OTHER: hotels/hostels-in-siem-reap,0,1,0,0,1
OTHER: hotels/hostels-in-singapore,0,1,0,0,1
OTHER: hotels/hostels-in-sintra,0,1,0,0,1
OTHER: hotels/hostels-in-sorrento,0,1,0,0,1
OTHER: hotels/hostels-in-split,0,1,0,0,1
OTHER: hotels/hostels-in-st-moritz,0,1,0,0,1
OTHER: hotels/hostels-in-stockholm,0,1,0,0,1
OTHER: hotels/hostels-in-strasbourg,0,1,0,0,1
OTHER: hotels/hostels-in-sydney,0,1,0,0,1
OTHER: hotels/hostels-in-taipei,0,1,0,0,1
OTHER: hotels/hostels-in-tallinn,0,1,0,0,1
OTHER: hotels/hostels-in-tel-aviv,0,1,0,0,1
OTHER: hotels/hostels-in-texas-hill-country,0,1,0,0,1
OTHER: hotels/hostels-in-tokyo,0,1,0,0,1
OTHER: hotels/hostels-in-toronto,0,1,0,0,1
OTHER: hotels/hostels-in-tulum,0,1,0,0,1
OTHER: hotels/hostels-in-udaipur,0,1,0,0,1
OTHER: hotels/hostels-in-ushuaia,0,1,0,0,1
OTHER: hotels/hostels-in-valencia,0,1,0,0,1
OTHER: hotels/hostels-in-vancouver,0,1,0,0,1
OTHER: hotels/hostels-in-varanasi,0,1,0,0,1
OTHER: hotels/hostels-in-venice,0,1,0,0,1
OTHER: hotels/hostels-in-verona,0,1,0,0,1
OTHER: hotels/hostels-in-victoria-falls,0,1,0,0,1
OTHER: hotels/hostels-in-vienna,0,1,0,0,1
OTHER: hotels/hostels-in-warsaw,0,1,0,0,1
OTHER: hotels/hostels-in-washington-dc,0,1,0,0,1
OTHER: hotels/hostels-in-wellington,0,1,0,0,1
OTHER: hotels/hostels-in-wengen,0,1,0,0,1
OTHER: hotels/hostels-in-whistler,0,1,0,0,1
OTHER: hotels/hostels-in-yogyakarta,0,1,0,0,1
OTHER: hotels/hostels-in-zanzibar,0,1,0,0,1
OTHER: hotels/hostels-in-zermatt,0,1,0,0,1
OTHER: hotels/hostels-in-zurich,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-abu-dhabi,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-agra,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-amman,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-amsterdam,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-antwerp,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-athens,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-auckland,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-austin,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-bali,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-banff,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-bangkok,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-barcelona,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-basel,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-beijing,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-bergen,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-berlin,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-bern,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-blue-ridge,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-bogota,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-bologna,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-bora-bora,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-boracay,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-bordeaux,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-boston,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-brisbane,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-broken-bow,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-bruges,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-brussels,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-bucharest,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-budapest,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-buenos-aires,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-busan,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-cabo-san-lucas,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-cairns,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-cairo,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-cancun,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-cape-town,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-cappadocia,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-cartagena,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-casablanca,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-cebu,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-charleston,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-chefchaouen,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-chiang-mai,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-chicago,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-cinque-terre,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-cologne,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-colombo,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-copenhagen,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-corfu,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-crete,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-cusco,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-da-nang,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-delhi,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-denver,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-destin,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-doha,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-dubai,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-dublin,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-dubrovnik,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-edinburgh,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-el-nido,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-fes,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-florence,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-fukuoka,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-gatlinburg,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-geneva,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-goa,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-gold-coast,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-granada,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-grindelwald,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-hakone,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-hallstatt,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-hamburg,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-hanoi,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-havana,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-helsinki,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-hiroshima,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-ho-chi-minh-city,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-hoi-an,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-hong-kong,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-honolulu,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-hue,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-ibiza,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-innsbruck,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-interlaken,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-istanbul,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-jaipur,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-jeju,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-jodhpur,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-johannesburg,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-kanazawa,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-kandy,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-kathmandu,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-koh-samui,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-krabi,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-krakow,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-kuala-lumpur,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-kyoto,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-lake-bled,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-lake-como,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-lake-tahoe,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-langkawi,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-las-vegas,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-lauterbrunnen,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-lima,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-lisbon,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-london,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-los-angeles,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-luang-prabang,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-lucerne,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-lugano,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-luxor,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-lyon,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-madeira,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-madrid,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-malaga,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-maldives,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-mallorca,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-manila,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-marrakech,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-marseille,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-matera,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-maui,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-mauritius,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-medellin,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-melbourne,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-merida,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-mexico-city,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-miami,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-milan,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-montreal,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-montreux,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-mumbai,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-munich,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-murren,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-muscat,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-mykonos,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-myrtle-beach,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-nadi,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-nairobi,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-naples,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-nara,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-nashville,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-new-orleans,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-new-york,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-nice,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-oaxaca,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-okinawa,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-orlando,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-osaka,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-oslo,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-outer-banks,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-palermo,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-palm-springs,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-panama-city,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-paris,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-pattaya,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-penang,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-perth,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-petra,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-phuket,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-playa-del-carmen,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-pokhara,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-porto,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-positano,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-prague,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-puerto-vallarta,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-quebec-city,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-queenstown,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-quito,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-reykjavik,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-rhodes,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-rio-de-janeiro,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-rome,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-salzburg,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-san-diego,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-san-francisco,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-san-juan,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-san-miguel-de-allende,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-san-sebastian,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-santiago,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-santorini,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-sapporo,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-savannah,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-scottsdale,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-seattle,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-seoul,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-seville,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-shanghai,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-sharm-el-sheikh,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-siem-reap,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-singapore,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-sintra,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-sorrento,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-split,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-st-moritz,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-stockholm,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-strasbourg,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-sydney,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-taipei,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-tallinn,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-tel-aviv,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-texas-hill-country,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-tokyo,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-toronto,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-tulum,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-udaipur,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-ushuaia,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-valencia,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-vancouver,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-varanasi,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-venice,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-verona,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-victoria-falls,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-vienna,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-warsaw,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-washington-dc,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-wellington,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-wengen,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-whistler,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-yogyakarta,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-zanzibar,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-zermatt,0,1,0,0,1
OTHER: hotels/hotels-with-a-pool-in-zurich,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-abu-dhabi,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-agra,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-amman,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-amsterdam,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-antwerp,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-athens,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-auckland,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-austin,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-bali,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-banff,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-bangkok,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-barcelona,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-basel,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-beijing,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-bergen,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-berlin,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-bern,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-blue-ridge,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-bogota,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-bologna,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-bora-bora,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-boracay,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-bordeaux,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-boston,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-brisbane,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-broken-bow,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-bruges,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-brussels,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-bucharest,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-budapest,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-buenos-aires,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-busan,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-cabo-san-lucas,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-cairns,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-cairo,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-cancun,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-cape-town,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-cappadocia,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-cartagena,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-casablanca,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-cebu,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-charleston,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-chefchaouen,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-chiang-mai,0,1,0,0,1
OTHER: hotels/romantic-hotels-in-chicago,0,1,0,0,1
