url,family,city,month,gsc_reported,impressions,clicks,avg_position,action,rationale
https://www.gotript.com/best-time-to-visit-budapest,best-time,budapest,,yes,13,0,83.23,REVIEW,reported but low impressions
https://www.gotript.com/corfu-weather-in-june,weather-month,corfu,june,yes,13,0,59.08,REVIEW,reported but low impressions
https://www.gotript.com/ibiza-weather-in-april,weather-month,ibiza,april,yes,13,0,72.54,REVIEW,reported but low impressions
https://www.gotript.com/mumbai-weather-in-january,weather-month,mumbai,january,yes,13,0,60.77,REVIEW,reported but low impressions
https://www.gotript.com/mykonos-weather-in-april,weather-month,mykonos,april,yes,13,0,50.54,REVIEW,reported but low impressions
https://www.gotript.com/queenstown-weather-in-november,weather-month,queenstown,november,yes,13,0,69.0,REVIEW,reported but low impressions
https://www.gotript.com/sharm-el-sheikh-weather-in-march,weather-month,sharm-el-sheikh,march,yes,13,0,45.31,REVIEW,reported but low impressions
https://www.gotript.com/stockholm-weather-in-april,weather-month,stockholm,april,yes,13,0,72.15,REVIEW,reported but low impressions
https://www.gotript.com/vienna-weather-in-august,weather-month,vienna,august,yes,13,0,63.54,REVIEW,reported but low impressions
https://www.gotript.com/barcelona-weather-in-january,weather-month,barcelona,january,yes,12,0,77.25,REVIEW,reported but low impressions
https://www.gotript.com/dublin-weather-in-october,weather-month,dublin,october,yes,12,0,74.08,REVIEW,reported but low impressions
https://www.gotript.com/lisbon-weather-in-april,weather-month,lisbon,april,yes,12,0,71.58,REVIEW,reported but low impressions
https://www.gotript.com/lisbon-weather-in-february,weather-month,lisbon,february,yes,12,0,71.67,REVIEW,reported but low impressions
https://www.gotript.com/malaga-weather-in-august,weather-month,malaga,august,yes,12,0,66.25,REVIEW,reported but low impressions
https://www.gotript.com/mumbai-weather-in-october,weather-month,mumbai,october,yes,12,0,58.42,REVIEW,reported but low impressions
https://www.gotript.com/oslo-weather-in-august,weather-month,oslo,august,yes,12,0,58.67,REVIEW,reported but low impressions
https://www.gotript.com/palermo-weather-in-march,weather-month,palermo,march,yes,12,0,43.67,REVIEW,reported but low impressions
https://www.gotript.com/quebec-city-weather-in-september,weather-month,quebec-city,september,yes,12,0,56.17,REVIEW,reported but low impressions
https://www.gotript.com/seoul-weather-in-may,weather-month,seoul,may,yes,12,0,73.0,REVIEW,reported but low impressions
https://www.gotript.com/vancouver-weather-in-december,weather-month,vancouver,december,yes,12,0,49.92,REVIEW,reported but low impressions
https://www.gotript.com/vancouver-weather-in-june,weather-month,vancouver,june,yes,12,0,63.5,REVIEW,reported but low impressions
https://www.gotript.com/abu-dhabi-weather-in-september,weather-month,abu-dhabi,september,yes,11,0,58.09,REVIEW,reported but low impressions
https://www.gotript.com/brussels-weather-in-december,weather-month,brussels,december,yes,11,0,65.55,REVIEW,reported but low impressions
https://www.gotript.com/crete-weather-in-july,weather-month,crete,july,yes,11,0,72.45,REVIEW,reported but low impressions
https://www.gotript.com/dublin-weather-in-december,weather-month,dublin,december,yes,11,0,67.82,REVIEW,reported but low impressions
https://www.gotript.com/istanbul-weather-in-july,weather-month,istanbul,july,yes,11,0,78.73,REVIEW,reported but low impressions
https://www.gotript.com/jaipur-weather-in-march,weather-month,jaipur,march,yes,11,0,57.0,REVIEW,reported but low impressions
https://www.gotript.com/koh-samui-weather-in-june,weather-month,koh-samui,june,yes,11,0,74.36,REVIEW,reported but low impressions
https://www.gotript.com/munich-weather-in-october,weather-month,munich,october,yes,11,0,59.73,REVIEW,reported but low impressions
https://www.gotript.com/osaka-weather-in-december,weather-month,osaka,december,yes,11,0,50.55,REVIEW,reported but low impressions
https://www.gotript.com/oslo-weather-in-december,weather-month,oslo,december,yes,11,0,56.09,REVIEW,reported but low impressions
https://www.gotript.com/san-francisco-weather-in-june,weather-month,san-francisco,june,yes,11,0,73.64,REVIEW,reported but low impressions
https://www.gotript.com/savannah-weather-in-april,weather-month,savannah,april,yes,11,0,46.64,REVIEW,reported but low impressions
https://www.gotript.com/stockholm-weather-in-october,weather-month,stockholm,october,yes,11,0,45.64,REVIEW,reported but low impressions
https://www.gotript.com/vienna-weather-in-july,weather-month,vienna,july,yes,11,0,69.18,REVIEW,reported but low impressions
https://www.gotript.com/wellington-weather-in-october,weather-month,wellington,october,yes,11,0,42.73,REVIEW,reported but low impressions
https://www.gotript.com/bali-weather-in-february,weather-month,bali,february,yes,10,0,78.7,REVIEW,reported but low impressions
https://www.gotript.com/kyoto-weather-in-december,weather-month,kyoto,december,yes,10,0,72.9,REVIEW,reported but low impressions
https://www.gotript.com/kyoto-weather-in-february,weather-month,kyoto,february,yes,10,0,75.0,REVIEW,reported but low impressions
https://www.gotript.com/montreal-weather-in-july,weather-month,montreal,july,yes,10,0,61.6,REVIEW,reported but low impressions
https://www.gotript.com/nashville-weather-in-october,weather-month,nashville,october,yes,10,0,54.1,REVIEW,reported but low impressions
https://www.gotript.com/perth-weather-in-november,weather-month,perth,november,yes,10,0,51.8,REVIEW,reported but low impressions
https://www.gotript.com/seattle-weather-in-october,weather-month,seattle,october,yes,10,0,54.7,REVIEW,reported but low impressions
https://www.gotript.com/seoul-weather-in-june,weather-month,seoul,june,yes,10,0,70.7,REVIEW,reported but low impressions
https://www.gotript.com/vienna-weather-in-june,weather-month,vienna,june,yes,10,0,65.1,REVIEW,reported but low impressions
https://www.gotript.com/warsaw-weather-in-september,weather-month,warsaw,september,yes,10,0,50.5,REVIEW,reported but low impressions
https://www.gotript.com/cape-town-weather-in-march,weather-month,cape-town,march,yes,9,0,69.22,REVIEW,reported but low impressions
https://www.gotript.com/dublin-weather-in-november,weather-month,dublin,november,yes,9,0,66.67,REVIEW,reported but low impressions
https://www.gotript.com/marrakech-weather-in-july,weather-month,marrakech,july,yes,9,0,66.56,REVIEW,reported but low impressions
https://www.gotript.com/mauritius-weather-in-march,weather-month,mauritius,march,yes,9,0,72.22,REVIEW,reported but low impressions
https://www.gotript.com/nashville-weather-in-june,weather-month,nashville,june,yes,9,0,58.56,REVIEW,reported but low impressions
https://www.gotript.com/zurich-weather-in-september,weather-month,zurich,september,yes,9,0,58.44,REVIEW,reported but low impressions
https://www.gotript.com/cape-town-weather-in-april,weather-month,cape-town,april,yes,8,0,71.5,REVIEW,reported but low impressions
https://www.gotript.com/dublin-weather-in-march,weather-month,dublin,march,yes,8,0,72.75,REVIEW,reported but low impressions
https://www.gotript.com/gold-coast-weather-in-august,weather-month,gold-coast,august,yes,8,0,48.0,REVIEW,reported but low impressions
https://www.gotript.com/istanbul-weather-in-march,weather-month,istanbul,march,yes,8,0,57.12,REVIEW,reported but low impressions
https://www.gotript.com/johannesburg-weather-in-april,weather-month,johannesburg,april,yes,8,0,49.0,REVIEW,reported but low impressions
https://www.gotript.com/lake-como-weather-in-july,weather-month,lake-como,july,yes,8,0,67.12,REVIEW,reported but low impressions
https://www.gotript.com/lauterbrunnen-weather-in-september,weather-month,lauterbrunnen,september,yes,8,0,9.5,REVIEW,reported but low impressions
https://www.gotript.com/malaga-weather-in-january,weather-month,malaga,january,yes,8,0,77.62,REVIEW,reported but low impressions
https://www.gotript.com/marrakech-weather-in-august,weather-month,marrakech,august,yes,8,0,67.75,REVIEW,reported but low impressions
https://www.gotript.com/miami-weather-in-march,weather-month,miami,march,yes,8,0,60.88,REVIEW,reported but low impressions
https://www.gotript.com/montreal-weather-in-november,weather-month,montreal,november,yes,8,0,52.25,REVIEW,reported but low impressions
https://www.gotript.com/munich-weather-in-march,weather-month,munich,march,yes,8,0,56.62,REVIEW,reported but low impressions
https://www.gotript.com/new-orleans-weather-in-april,weather-month,new-orleans,april,yes,8,0,57.88,REVIEW,reported but low impressions
https://www.gotript.com/oslo-weather-in-september,weather-month,oslo,september,yes,8,0,60.5,REVIEW,reported but low impressions
https://www.gotript.com/porto-weather-in-november,weather-month,porto,november,yes,8,0,60.75,REVIEW,reported but low impressions
https://www.gotript.com/savannah-weather-in-october,weather-month,savannah,october,yes,8,0,69.0,REVIEW,reported but low impressions
https://www.gotript.com/vancouver-weather-in-october,weather-month,vancouver,october,yes,8,0,63.62,REVIEW,reported but low impressions
https://www.gotript.com/wellington-weather-in-december,weather-month,wellington,december,yes,8,0,62.25,REVIEW,reported but low impressions
https://www.gotript.com/abu-dhabi-weather-in-august,weather-month,abu-dhabi,august,yes,7,0,60.86,REVIEW,reported but low impressions
https://www.gotript.com/bali-weather-in-november,weather-month,bali,november,yes,7,0,86.43,REVIEW,reported but low impressions
https://www.gotript.com/best-time-to-visit-zanzibar,best-time,zanzibar,,yes,7,0,87.29,REVIEW,reported but low impressions
https://www.gotript.com/chicago-weather-in-march,weather-month,chicago,march,yes,7,0,51.43,REVIEW,reported but low impressions
https://www.gotript.com/delhi-weather-in-june,weather-month,delhi,june,yes,7,0,54.14,REVIEW,reported but low impressions
https://www.gotript.com/hong-kong-weather-in-august,weather-month,hong-kong,august,yes,7,0,67.29,REVIEW,reported but low impressions
https://www.gotript.com/jaipur-weather-in-july,weather-month,jaipur,july,yes,7,0,59.14,REVIEW,reported but low impressions
https://www.gotript.com/johannesburg-weather-in-october,weather-month,johannesburg,october,yes,7,0,53.0,REVIEW,reported but low impressions
https://www.gotript.com/lisbon-weather-in-may,weather-month,lisbon,may,yes,7,0,67.0,REVIEW,reported but low impressions
https://www.gotript.com/lisbon-weather-in-november,weather-month,lisbon,november,yes,7,0,76.14,REVIEW,reported but low impressions
https://www.gotript.com/lyon-weather-in-august,weather-month,lyon,august,yes,7,0,47.86,REVIEW,reported but low impressions
https://www.gotript.com/mallorca-weather-in-december,weather-month,mallorca,december,yes,7,0,78.57,REVIEW,reported but low impressions
https://www.gotript.com/milan-weather-in-july,weather-month,milan,july,yes,7,0,68.14,REVIEW,reported but low impressions
https://www.gotript.com/san-diego-weather-in-september,weather-month,san-diego,september,yes,7,0,60.86,REVIEW,reported but low impressions
https://www.gotript.com/seoul-weather-in-august,weather-month,seoul,august,yes,7,0,76.86,REVIEW,reported but low impressions
https://www.gotript.com/seoul-weather-in-january,weather-month,seoul,january,yes,7,0,64.14,REVIEW,reported but low impressions
https://www.gotript.com/strasbourg-weather-in-may,weather-month,strasbourg,may,yes,7,0,51.57,REVIEW,reported but low impressions
https://www.gotript.com/zanzibar-weather-in-january,weather-month,zanzibar,january,yes,7,0,79.57,REVIEW,reported but low impressions
https://www.gotript.com/best-time-to-visit-montreal,best-time,montreal,,yes,6,0,74.17,REVIEW,reported but low impressions
https://www.gotript.com/crete-weather-in-january,weather-month,crete,january,yes,6,0,67.33,REVIEW,reported but low impressions
https://www.gotript.com/dublin-weather-in-august,weather-month,dublin,august,yes,6,0,73.17,REVIEW,reported but low impressions
https://www.gotript.com/hallstatt-weather-in-august,weather-month,hallstatt,august,yes,6,0,10.83,REVIEW,reported but low impressions
https://www.gotript.com/jaipur-weather-in-december,weather-month,jaipur,december,yes,6,0,52.0,REVIEW,reported but low impressions
https://www.gotript.com/koh-samui-weather-in-august,weather-month,koh-samui,august,yes,6,0,48.67,REVIEW,reported but low impressions
https://www.gotript.com/lake-como-weather-in-june,weather-month,lake-como,june,yes,6,0,57.0,REVIEW,reported but low impressions
https://www.gotript.com/lisbon-weather-in-january,weather-month,lisbon,january,yes,6,0,73.67,REVIEW,reported but low impressions
https://www.gotript.com/mauritius-weather-in-july,weather-month,mauritius,july,yes,6,0,76.0,REVIEW,reported but low impressions
https://www.gotript.com/medellin-weather-in-november,weather-month,medellin,november,yes,6,0,65.0,REVIEW,reported but low impressions
https://www.gotript.com/milan-weather-in-january,weather-month,milan,january,yes,6,0,64.5,REVIEW,reported but low impressions
https://www.gotript.com/milan-weather-in-june,weather-month,milan,june,yes,6,0,59.0,REVIEW,reported but low impressions
https://www.gotript.com/montreal-weather-in-january,weather-month,montreal,january,yes,6,0,45.33,REVIEW,reported but low impressions
https://www.gotript.com/munich-weather-in-april,weather-month,munich,april,yes,6,0,57.33,REVIEW,reported but low impressions
https://www.gotript.com/munich-weather-in-december,weather-month,munich,december,yes,6,0,55.17,REVIEW,reported but low impressions
https://www.gotript.com/munich-weather-in-june,weather-month,munich,june,yes,6,0,66.83,REVIEW,reported but low impressions
https://www.gotript.com/mykonos-weather-in-december,weather-month,mykonos,december,yes,6,0,50.0,REVIEW,reported but low impressions
https://www.gotript.com/mykonos-weather-in-july,weather-month,mykonos,july,yes,6,0,63.5,REVIEW,reported but low impressions
https://www.gotript.com/naples-weather-in-november,weather-month,naples,november,yes,6,0,58.17,REVIEW,reported but low impressions
https://www.gotript.com/osaka-weather-in-july,weather-month,osaka,july,yes,6,0,61.0,REVIEW,reported but low impressions
https://www.gotript.com/phuket-weather-in-january,weather-month,phuket,january,yes,6,0,59.67,REVIEW,reported but low impressions
https://www.gotript.com/salzburg-weather-in-june,weather-month,salzburg,june,yes,6,0,54.17,REVIEW,reported but low impressions
https://www.gotript.com/san-francisco-weather-in-march,weather-month,san-francisco,march,yes,6,0,65.33,REVIEW,reported but low impressions
https://www.gotript.com/seville-weather-in-january,weather-month,seville,january,yes,6,0,65.17,REVIEW,reported but low impressions
https://www.gotript.com/sharm-el-sheikh-weather-in-april,weather-month,sharm-el-sheikh,april,yes,6,0,60.67,REVIEW,reported but low impressions
https://www.gotript.com/stockholm-weather-in-march,weather-month,stockholm,march,yes,6,0,52.67,REVIEW,reported but low impressions
https://www.gotript.com/tel-aviv-weather-in-april,weather-month,tel-aviv,april,yes,6,0,56.33,REVIEW,reported but low impressions
https://www.gotript.com/udaipur-weather-in-december,weather-month,udaipur,december,yes,6,0,50.0,REVIEW,reported but low impressions
https://www.gotript.com/vancouver-weather-in-september,weather-month,vancouver,september,yes,6,0,55.33,REVIEW,reported but low impressions
https://www.gotript.com/varanasi-weather-in-august,weather-month,varanasi,august,yes,6,0,13.5,REVIEW,reported but low impressions
https://www.gotript.com/venice-weather-in-january,weather-month,venice,january,yes,6,0,51.33,REVIEW,reported but low impressions
https://www.gotript.com/warsaw-weather-in-december,weather-month,warsaw,december,yes,6,0,51.17,REVIEW,reported but low impressions
https://www.gotript.com/washington-dc-weather-in-october,weather-month,washington-dc,october,yes,6,0,64.33,REVIEW,reported but low impressions
https://www.gotript.com/wellington-weather-in-april,weather-month,wellington,april,yes,6,0,55.67,REVIEW,reported but low impressions
https://www.gotript.com/bali-weather-in-may,weather-month,bali,may,yes,5,0,84.0,REVIEW,reported but low impressions
https://www.gotript.com/best-time-to-visit-abu-dhabi,best-time,abu-dhabi,,yes,5,0,93.4,REVIEW,reported but low impressions
https://www.gotript.com/cappadocia-weather-in-december,weather-month,cappadocia,december,yes,5,0,69.8,REVIEW,reported but low impressions
https://www.gotript.com/chicago-weather-in-april,weather-month,chicago,april,yes,5,0,59.6,REVIEW,reported but low impressions
https://www.gotript.com/chicago-weather-in-december,weather-month,chicago,december,yes,5,0,55.0,REVIEW,reported but low impressions
https://www.gotript.com/dubrovnik-weather-in-july,weather-month,dubrovnik,july,yes,5,0,59.2,REVIEW,reported but low impressions
https://www.gotript.com/honolulu-weather-in-july,weather-month,honolulu,july,yes,5,0,55.6,REVIEW,reported but low impressions
https://www.gotript.com/honolulu-weather-in-may,weather-month,honolulu,may,yes,5,0,65.6,REVIEW,reported but low impressions
https://www.gotript.com/jaipur-weather-in-november,weather-month,jaipur,november,yes,5,0,56.0,REVIEW,reported but low impressions
https://www.gotript.com/johannesburg-weather-in-january,weather-month,johannesburg,january,yes,5,0,47.0,REVIEW,reported but low impressions
https://www.gotript.com/johannesburg-weather-in-march,weather-month,johannesburg,march,yes,5,0,49.0,REVIEW,reported but low impressions
https://www.gotript.com/koh-samui-weather-in-october,weather-month,koh-samui,october,yes,5,0,43.4,REVIEW,reported but low impressions
https://www.gotript.com/kyoto-weather-in-may,weather-month,kyoto,may,yes,5,0,74.2,REVIEW,reported but low impressions
https://www.gotript.com/lisbon-weather-in-july,weather-month,lisbon,july,yes,5,0,75.0,REVIEW,reported but low impressions
https://www.gotript.com/madrid-weather-in-february,weather-month,madrid,february,yes,5,0,65.8,REVIEW,reported but low impressions
https://www.gotript.com/madrid-weather-in-january,weather-month,madrid,january,yes,5,0,58.2,REVIEW,reported but low impressions
https://www.gotript.com/marrakech-weather-in-february,weather-month,marrakech,february,yes,5,0,72.6,REVIEW,reported but low impressions
https://www.gotript.com/melbourne-weather-in-november,weather-month,melbourne,november,yes,5,0,58.4,REVIEW,reported but low impressions
https://www.gotript.com/mykonos-weather-in-june,weather-month,mykonos,june,yes,5,0,58.0,REVIEW,reported but low impressions
https://www.gotript.com/mykonos-weather-in-march,weather-month,mykonos,march,yes,5,0,59.2,REVIEW,reported but low impressions
https://www.gotript.com/nashville-weather-in-january,weather-month,nashville,january,yes,5,0,56.6,REVIEW,reported but low impressions
https://www.gotript.com/new-orleans-weather-in-may,weather-month,new-orleans,may,yes,5,0,48.6,REVIEW,reported but low impressions
https://www.gotript.com/new-york-weather-in-august,weather-month,new-york,august,yes,5,0,60.4,REVIEW,reported but low impressions
https://www.gotript.com/paris-weather-in-february,weather-month,paris,february,yes,5,0,84.4,REVIEW,reported but low impressions
https://www.gotript.com/porto-weather-in-january,weather-month,porto,january,yes,5,0,61.6,REVIEW,reported but low impressions
https://www.gotript.com/quebec-city-weather-in-july,weather-month,quebec-city,july,yes,5,0,65.6,REVIEW,reported but low impressions
https://www.gotript.com/salzburg-weather-in-october,weather-month,salzburg,october,yes,5,0,55.6,REVIEW,reported but low impressions
https://www.gotript.com/santorini-weather-in-november,weather-month,santorini,november,yes,5,0,71.4,REVIEW,reported but low impressions
https://www.gotript.com/seville-weather-in-april,weather-month,seville,april,yes,5,0,66.0,REVIEW,reported but low impressions
https://www.gotript.com/stockholm-weather-in-december,weather-month,stockholm,december,yes,5,0,53.8,REVIEW,reported but low impressions
https://www.gotript.com/varanasi-weather-in-march,weather-month,varanasi,march,yes,5,0,31.8,REVIEW,reported but low impressions
https://www.gotript.com/verona-weather-in-february,weather-month,verona,february,yes,5,0,43.4,REVIEW,reported but low impressions
https://www.gotript.com/wellington-weather-in-june,weather-month,wellington,june,yes,5,0,65.4,REVIEW,reported but low impressions
https://www.gotript.com/wellington-weather-in-march,weather-month,wellington,march,yes,5,0,67.6,REVIEW,reported but low impressions
https://www.gotript.com/athens-weather-in-september,weather-month,athens,september,yes,4,0,73.75,REVIEW,reported but low impressions
https://www.gotript.com/berlin-weather-in-october,weather-month,berlin,october,yes,4,0,67.0,REVIEW,reported but low impressions
https://www.gotript.com/best-time-to-visit-langkawi,best-time,langkawi,,yes,4,0,88.5,REVIEW,reported but low impressions
https://www.gotript.com/charleston-weather-in-october,weather-month,charleston,october,yes,4,0,57.0,REVIEW,reported but low impressions
https://www.gotript.com/colombo-weather-in-november,weather-month,colombo,november,yes,4,0,68.5,REVIEW,reported but low impressions
https://www.gotript.com/corfu-weather-in-august,weather-month,corfu,august,yes,4,0,60.0,REVIEW,reported but low impressions
https://www.gotript.com/cusco-weather-in-august,weather-month,cusco,august,yes,4,0,60.5,REVIEW,reported but low impressions
